frame,elapsed_ms,dt_ms,presented,net_ms,remesh_ms,advance_ms,acquire_ms,world_ms,hud_ms,present_ms,fps,chunks_held,meshed,drawn,queued,buffers_created,buffers_reused,tick,confirmed,lead,worst_correction,vertical_pct,worst_divergence,footing_changes,unloaded,body_x,body_y,body_z,vel_x,vel_y,vel_z,on_ground,step_lag,camera_y
1,63.464,100.000,1,0.300,3.563,0.035,0.027,44.981,11.030,0.984,10,5,3,3,2,6,0,8,2,6,0.0000,0,0.0000,0,0,1.5000,42.3600,1.5000,0.0000,-1.9200,0.0000,0,0.0000,0.3800
2,68.181,60.968,1,0.037,3.200,0.018,0.031,0.351,0.971,0.059,11,8,3,3,5,6,6,9,3,6,0.0000,0,0.0000,0,0,1.5000,0.7610,1.5000,0.0000,-0.2400,0.0000,0,0.0000,1.9361
3,87.331,7.024,1,0.001,0.765,0.004,0.021,4.073,0.931,11.004,24,8,5,4,1,10,6,9,3,6,0.0000,0,0.0000,0,0,1.5000,0.7610,1.5000,0.0000,-0.2400,0.0000,0,0.0000,1.9249
4,91.943,17.225,1,0.001,1.539,0.005,0.039,0.950,1.572,0.075,27,8,6,5,0,12,6,9,3,6,0.0000,0,0.0000,0,0,1.5000,0.7610,1.5000,0.0000,-0.2400,0.0000,0,0.0000,1.8973
5,92.970,4.250,1,0.001,0.001,0.006,0.031,0.292,0.575,0.058,48,8,6,5,0,12,6,9,3,6,0.0000,0,0.0000,0,0,1.5000,0.7610,1.5000,0.0000,-0.2400,0.0000,0,0.0000,1.8905
6,99.863,1.009,1,0.054,2.188,0.013,3.719,0.219,0.557,0.095,142,10,6,5,5,12,10,9,4,5,0.0000,0,0.0000,0,0,1.5000,40.2000,1.5000,0.0000,-2.1600,0.0000,0,0.0000,-0.8428
7,109.795,6.916,1,0.001,0.959,0.043,7.945,0.299,0.539,0.074,143,10,6,5,1,12,12,9,4,5,0.0000,0,0.0000,0,0,1.5000,40.2000,1.5000,0.0000,-2.1600,0.0000,0,0.0000,-0.9424
8,125.136,9.908,1,0.001,0.171,0.066,13.967,0.295,0.709,0.086,138,10,6,5,0,12,12,10,4,6,0.0000,0,0.0000,0,0,1.5000,39.0010,1.5000,0.0000,0.0000,0.0000,1,0.0000,-1.0383
9,148.201,15.346,1,0.064,4.236,0.021,17.772,0.258,0.598,0.065,131,13,6,5,7,12,14,10,5,5,0.0000,0,0.0000,0,0,1.5000,39.0010,1.5000,0.0000,0.0000,0.0000,1,0.0000,-1.1610
10,163.659,23.070,1,0.001,3.433,0.014,10.796,0.405,0.653,0.093,122,13,8,6,5,16,14,10,5,5,0.0000,0,0.0000,0,0,1.5000,39.0010,1.5000,0.0000,0.0000,0.0000,1,0.0000,-1.3454
11,176.393,15.452,1,0.001,0.829,0.028,11.002,0.310,0.434,0.079,117,13,8,6,1,16,18,11,5,6,0.0000,0,0.0000,0,0,1.5000,39.0010,1.5000,0.0000,0.0000,0.0000,1,0.0000,-1.3797
12,195.835,12.724,1,0.057,2.476,0.029,15.869,0.268,0.598,0.106,113,17,8,6,9,16,20,11,6,5,0.0000,0,0.0000,0,0,1.5000,39.0010,1.5000,0.0000,0.0000,0.0000,1,0.0000,-1.3797
13,211.176,19.741,1,0.002,2.711,0.021,11.201,0.320,0.662,0.087,107,17,8,6,8,16,22,11,6,5,0.0000,0,0.0000,0,0,1.5000,39.0010,1.5000,0.0000,0.0000,0.0000,1,0.0000,-1.3797
14,228.680,15.051,1,0.001,3.509,0.047,12.689,0.327,0.802,0.077,103,17,9,7,6,18,22,12,6,6,0.0000,0,0.0000,0,0,1.5000,39.0010,1.5000,0.0000,0.0000,0.0000,1,0.0000,-1.3797
15,257.858,17.505,1,0.049,2.400,0.015,26.006,0.233,0.333,0.092,98,21,9,7,14,18,24,12,7,5,0.0000,0,0.0000,0,0,1.5000,39.0010,1.5000,0.0000,0.0000,0.0000,1,0.0000,-1.3797
